"order_num","order_id","user_id","ship_id","geo_id","order_date","ship_date"
1,CA-2019-140088,345,2,147,2019-05-28,2019-05-30
2,CA-2018-146318,27,1,296,2018-01-22,2018-01-27
3,CA-2019-138611,495,2,539,2019-11-14,2019-11-17
4,CA-2018-118500,281,4,310,2018-11-17,2018-11-18
5,CA-2018-123414,94,1,282,2018-08-21,2018-08-27
6,CA-2018-129238,129,1,204,2018-01-31,2018-02-04
7,CA-2017-148635,44,2,260,2017-07-25,2017-07-27
8,US-2017-153283,228,1,139,2017-11-12,2017-11-18
9,CA-2019-147354,145,1,561,2019-03-09,2019-03-13
10,US-2019-113201,608,1,204,2019-06-30,2019-07-05
11,CA-2017-109512,739,3,142,2017-03-05,2017-03-05
12,CA-2017-164427,32,1,420,2017-07-31,2017-08-06
13,CA-2019-155712,361,1,561,2019-03-02,2019-03-08
14,CA-2017-162621,764,1,7,2017-09-05,2017-09-11
15,CA-2019-142489,661,2,215,2019-11-14,2019-11-16
16,CA-2017-156510,193,1,32,2017-09-25,2017-09-29
17,CA-2018-159737,370,1,121,2018-09-03,2018-09-09
18,CA-2018-132661,100,1,471,2018-10-23,2018-10-29
19,CA-2019-127397,204,1,146,2019-02-24,2019-02-28
20,CA-2016-118976,123,1,319,2016-04-28,2016-05-03
21,US-2019-106145,40,3,538,2019-09-26,2019-09-26
22,CA-2017-111458,348,1,139,2017-09-26,2017-09-30
23,CA-2018-142524,687,1,466,2018-09-04,2018-09-08
24,CA-2018-115483,617,2,307,2018-07-14,2018-07-18
25,CA-2018-116736,244,1,115,2018-01-17,2018-01-21
26,CA-2017-125696,252,1,485,2017-10-02,2017-10-06
27,CA-2017-113131,584,3,145,2017-09-24,2017-09-24
28,CA-2018-102561,268,1,512,2018-07-18,2018-07-22
29,CA-2017-117611,176,2,463,2017-11-08,2017-11-10
30,CA-2019-155824,472,1,128,2019-03-10,2019-03-15
31,CA-2016-123295,138,3,496,2016-07-18,2016-07-18
32,CA-2019-147753,280,3,39,2019-03-05,2019-03-05
33,CA-2017-140025,571,1,349,2017-04-07,2017-04-11
34,US-2019-126053,370,4,471,2019-12-05,2019-12-08
35,CA-2018-123946,708,1,375,2018-09-12,2018-09-17
36,CA-2017-145485,274,3,538,2017-11-05,2017-11-05
37,CA-2018-124772,411,4,339,2018-12-05,2018-12-06
38,CA-2019-114440,683,2,101,2019-09-14,2019-09-17
39,CA-2018-119641,667,1,361,2018-09-22,2018-09-26
40,CA-2018-158043,645,2,279,2018-01-31,2018-02-04
41,CA-2018-169824,258,1,497,2018-12-12,2018-12-17
42,CA-2019-141572,323,2,115,2019-05-28,2019-05-31
43,US-2018-147991,63,1,340,2018-05-05,2018-05-09
44,CA-2017-115945,248,1,204,2017-06-25,2017-07-01
45,CA-2019-137498,768,2,362,2019-09-09,2019-09-14
46,CA-2018-126529,125,2,12,2018-01-11,2018-01-13
47,CA-2018-108364,390,1,322,2018-12-19,2018-12-24
48,CA-2018-144092,310,2,621,2018-11-05,2018-11-07
49,US-2019-116659,265,3,299,2019-11-12,2019-11-12
50,CA-2019-126676,644,4,366,2019-09-29,2019-10-01
51,CA-2018-168830,59,1,310,2018-11-07,2018-11-13
52,CA-2016-103317,266,4,612,2016-07-05,2016-07-08
53,CA-2016-121006,468,1,360,2016-11-10,2016-11-16
54,CA-2016-156594,98,2,561,2016-12-20,2016-12-23
55,CA-2018-152072,777,1,424,2018-01-15,2018-01-19
56,CA-2016-168312,385,1,7,2016-03-01,2016-03-07
57,CA-2016-124079,168,1,132,2016-12-13,2016-12-17
58,CA-2018-110730,730,2,260,2018-09-23,2018-09-26
59,CA-2017-142433,682,1,7,2017-04-20,2017-04-25
