"item_id","discount_id","order_num","prod_id","quantity","sales","profit"
1,9,1,4223,2,301.9600,33.2156000000000000
2,9,2,641,2,12.9600,6.2208000000000000
3,10,3,3847,2,3.6480,-2.7968000000000000
4,12,3,1048,10,119.9400,15.9920000000000000
5,9,4,1573,5,49.5000,13.3650000000000000
6,4,5,470,2,28.0480,3.5060000000000000
7,4,5,2432,4,9.2160,3.3408000000000000
8,9,6,3026,5,56.7000,27.7830000000000000
9,4,6,3074,1,109.5920,8.2194000000000000
10,4,7,3177,2,561.5680,28.0784000000000000
11,9,7,1959,5,704.9000,56.3920000000000000
12,9,7,1082,2,12.9600,6.2208000000000000
13,9,7,1585,2,9.4200,0.4710000000000000
14,9,8,1342,2,15.5600,7.3132000000000000
15,4,9,58,5,30.8400,9.6375000000000000
16,4,9,400,2,479.9840,59.9980000000000000
17,9,10,326,5,204.9500,100.4255000000000000
18,9,11,892,4,563.4000,67.6080000000000000
19,11,11,4206,7,383.6070,63.9345000000000000
20,9,11,651,3,29.3400,14.6700000000000000
21,9,12,1892,6,239.7000,105.4680000000000000
22,4,13,2891,2,107.6480,33.6400000000000000
23,3,14,1249,3,4.4700,-7.8225000000000000
24,4,14,3236,9,69.1200,-14.6880000000000000
25,3,14,2641,5,16.2700,-25.2185000000000000
26,3,15,1795,5,21.9900,-32.9850000000000000
27,9,16,1932,1,6.7000,2.2110000000000000
28,9,16,4154,2,45.6800,21.0128000000000000
29,9,16,3928,2,10.7600,5.1648000000000000
30,3,17,3604,3,8.8080,-14.9736000000000000
31,9,18,2184,10,379.4000,178.3180000000000000
32,4,19,2136,5,1319.8000,214.4675000000000000
33,4,19,3757,5,123.9200,38.7250000000000000
34,9,20,2004,1,3.1500,1.5120000000000000
35,9,20,2068,2,5.3400,1.4952000000000000
36,9,20,2444,9,497.6100,129.3786000000000000
37,9,20,238,2,20.8600,9.3870000000000000
38,4,21,1358,3,931.1760,314.2719000000000000
39,4,21,2542,3,17.0400,5.5380000000000000
40,9,21,101,6,35.8800,16.1460000000000000
41,9,21,60,3,9.2400,2.9568000000000000
42,9,21,3944,6,71.8800,33.0648000000000000
43,9,22,2905,2,50.0000,12.0000000000000000
44,9,23,84,5,279.9500,67.1880000000000000
45,9,23,1694,2,16.5600,7.7832000000000000
46,4,24,1715,5,219.8400,79.6920000000000000
47,9,25,1415,3,371.9700,66.9546000000000000
48,9,25,1506,1,29.9900,13.1956000000000000
49,9,25,1476,3,322.5900,64.5180000000000000
50,10,26,1021,5,7.3800,-5.4120000000000000
51,4,27,3751,5,17.1200,1.9260000000000000
52,4,27,2844,1,24.4240,7.9378000000000000
53,4,27,3856,2,15.8400,5.5440000000000000
54,4,27,3497,2,33.5680,1.6784000000000000
55,10,27,3533,6,6.7320,-4.4880000000000000
56,4,28,3578,4,18.4960,6.7048000000000000
57,4,28,2064,10,284.0800,24.8570000000000000
58,4,28,2795,8,11.2640,1.2672000000000000
59,9,29,1415,3,371.9700,66.9546000000000000
60,9,29,3338,1,5.0000,2.4000000000000000
61,10,30,3274,4,13.0920,-10.0372000000000000
62,4,30,4064,1,48.7840,3.6588000000000000
63,4,31,1870,4,259.1360,-25.9136000000000000
64,9,32,4166,2,25.0600,11.7782000000000000
65,4,33,4071,6,383.9520,47.9940000000000000
66,3,33,974,8,463.2480,-1181.2824000000000000
67,9,34,701,3,9.4500,4.5360000000000000
68,9,34,1486,2,41.9600,10.9096000000000000
69,9,35,1654,4,1059.1200,307.1448000000000000
70,9,35,212,5,67.9000,0.6789999999999990
71,9,35,3222,3,11.3400,5.2164000000000000
72,9,35,758,3,20.7000,1.6560000000000000
73,9,36,3057,4,62.8000,15.7000000000000000
74,9,37,188,3,191.8200,74.8098000000000000
75,9,38,3728,3,19.0500,8.7630000000000000
76,9,39,1665,2,18.9600,7.5840000000000000
77,9,40,1578,2,23.3600,11.6800000000000000
78,9,41,481,7,11.2000,4.8160000000000000
79,9,41,2716,4,35.5200,9.9456000000000000
80,9,41,799,5,60.3500,19.9155000000000000
81,9,42,3079,8,247.4400,101.4504000000000000
82,4,43,289,5,16.7200,3.3440000000000000
83,9,44,405,3,304.2300,9.1268999999999900
84,4,44,3350,3,88.7520,27.7350000000000000
85,9,44,2819,2,20.9600,5.2400000000000000
86,9,45,3470,9,47.5200,22.8096000000000000
87,4,45,1737,5,243.9200,-15.2450000000000000
88,9,45,1491,2,6.5600,1.9024000000000000
89,12,46,3966,2,15.5880,-9.8724000000000000
90,4,46,4159,3,63.3120,20.5764000000000000
91,4,46,2079,3,15.5520,5.4432000000000000
92,3,47,3159,5,1.8000,-2.8800000000000000
93,9,48,4191,3,158.1300,77.4837000000000000
94,4,48,2687,2,113.8880,9.9652000000000000
95,9,48,423,4,72.0000,12.9600000000000000
96,12,49,4316,3,370.7820,-92.6955000000000000
