"prod_id","product_id","product_name","segment","category","subcategory","unit_price"
1,TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Consumer,Technology,Accessories,329.9900
2,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Corporate,Office Supplies,Envelopes,12.7800
3,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Corporate,Technology,Phones,52.4900
4,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Consumer,Furniture,Furnishings,20.9400
5,FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Consumer,Furniture,Chairs,256.9800
6,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Corporate,Furniture,Furnishings,42.9400
7,OFF-PA-10001363,Xerox 1933,Corporate,Office Supplies,Paper,12.2800
8,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Consumer,Technology,Phones,199.0000
9,FUR-CH-10003817,"Global Value Steno Chair, Gray",Corporate,Furniture,Chairs,60.7400
10,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,Home Office,Furniture,Furnishings,102.3000
11,OFF-PA-10003177,Xerox 1999,Home Office,Office Supplies,Paper,6.4800
12,FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Home Office,Furniture,Furnishings,9.4800
13,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Consumer,Office Supplies,Binders,8.8800
14,OFF-EN-10004206,Multimedia Mailers,Consumer,Office Supplies,Envelopes,162.9300
15,OFF-BI-10000632,Satellite Sectional Post Binders,Consumer,Office Supplies,Binders,43.4100
16,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Home Office,Office Supplies,Storage,181.4600
17,OFF-LA-10004545,Avery 50,Corporate,Office Supplies,Labels,12.5300
18,OFF-PA-10001800,Xerox 220,Corporate,Office Supplies,Paper,6.4800
19,OFF-AR-10000817,Manco Dry-Lighter Erasable Highlighter,Consumer,Office Supplies,Art,3.0400
20,TEC-PH-10000369,HTC One Mini,Consumer,Technology,Phones,125.9900
21,TEC-PH-10000675,Panasonic KX TS3282B Corded phone,Corporate,Technology,Phones,81.9900
22,OFF-AR-10003752,Deluxe Chalkboard Eraser Cleaner,Consumer,Office Supplies,Art,11.5500
23,OFF-PA-10004451,Xerox 222,Home Office,Office Supplies,Paper,6.4800
24,OFF-PA-10001166,Xerox 2,Corporate,Office Supplies,Paper,6.4800
25,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,Office Supplies,Envelopes,27.1800
26,OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Corporate,Office Supplies,Appliances,18.3200
27,OFF-PA-10003892,Xerox 1943,Home Office,Office Supplies,Paper,48.9100
28,OFF-AP-10004233,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Corporate,Office Supplies,Appliances,76.7200
29,TEC-PH-10003535,RCA ViSYS 25423RE1 Corded phone,Corporate,Technology,Phones,99.9900
30,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Consumer,Office Supplies,Binders,1.9800
31,OFF-BI-10001249,Avery Heavy-Duty EZD View Binder with Locking Rings,Consumer,Office Supplies,Binders,6.3800
32,OFF-AP-10003266,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Consumer,Office Supplies,Appliances,14.8100
33,OFF-PA-10003349,Xerox 1957,Corporate,Office Supplies,Paper,6.4800
34,FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Consumer,Furniture,Bookcases,170.9800
35,TEC-PH-10000586,AT&T SB67148 SynJ,Consumer,Technology,Phones,65.9900
36,OFF-PA-10000605,Xerox 1950,Consumer,Office Supplies,Paper,5.7800
37,TEC-AC-10002926,Logitech Wireless Marathon Mouse M705,Consumer,Technology,Accessories,49.9900
38,OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,Corporate,Office Supplies,Binders,12.5300
39,OFF-BI-10002982,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Home Office,Office Supplies,Binders,6.8100
40,TEC-PH-10000923,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Corporate,Technology,Phones,14.9900
41,OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Consumer,Office Supplies,Storage,135.3100
42,OFF-AR-10001615,Newell 34,Home Office,Office Supplies,Art,19.8400
43,TEC-PH-10004165,Mitel MiVoice 5330e IP Phone,Corporate,Technology,Phones,274.9900
44,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Corporate,Furniture,Furnishings,3.3700
45,FUR-FU-10000794,"Eldon Stackable Tray, Side-Load, Legal, Smoke",Consumer,Furniture,Furnishings,9.1400
46,OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,Corporate,Office Supplies,Appliances,78.6500
47,OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,Consumer,Office Supplies,Art,17.9900
48,OFF-ST-10004180,Safco Commercial Shelving,Home Office,Office Supplies,Storage,46.5100
49,TEC-MA-10001031,Socket Bluetooth Cordless Hand Scanner (CHS),Corporate,Technology,Machines,210.9500
50,OFF-PA-10002160,Xerox 1978,Home Office,Office Supplies,Paper,5.7800
51,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Consumer,Office Supplies,Art,37.9800
52,TEC-PH-10003442,Samsung Replacement EH64AVFWE Premium Headset,Consumer,Technology,Phones,5.5000
53,OFF-LA-10004853,Avery 483,Consumer,Office Supplies,Labels,4.9800
54,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Consumer,Office Supplies,Fasteners,5.8100
55,TEC-AC-10004975,Plantronics Audio 995 Wireless Stereo Headset,Corporate,Technology,Accessories,109.9500
56,OFF-AR-10001118,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",Home Office,Office Supplies,Art,3.3700
57,OFF-FA-10003472,Bagged Rubber Bands,Corporate,Office Supplies,Fasteners,1.2600
58,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,Office Supplies,Binders,7.7100
59,FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Consumer,Furniture,Chairs,113.9800
60,FUR-FU-10003829,Stackable Trays,Corporate,Furniture,Furnishings,3.0800
61,TEC-PH-10002549,Polycom SoundPoint IP 450 VoIP phone,Corporate,Technology,Phones,225.8600
62,TEC-AC-10001714,Logitech MX Performance Wireless Mouse,Corporate,Technology,Accessories,39.8900
63,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,Corporate,Office Supplies,Supplies,9.9000
64,OFF-AR-10001919,"OIC #2 Pencils, Medium Soft",Home Office,Office Supplies,Art,1.8800
1320,OFF-LA-10002381,Avery 497,Consumer,Office Supplies,Labels,3.0800
65,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",Corporate,Furniture,Furnishings,7.2800
66,OFF-AR-10001683,Lumber Crayons,Consumer,Office Supplies,Art,9.8500
67,OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Corporate,Office Supplies,Appliances,2.2200
68,OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Consumer,Office Supplies,Storage,279.4800
69,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Corporate,Technology,Machines,1699.9900
70,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Home Office,Furniture,Chairs,130.9800
71,OFF-AR-10001868,Prang Dustless Chalk Sticks,Corporate,Office Supplies,Art,1.6800
72,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Corporate,Office Supplies,Art,173.9100
73,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Home Office,Office Supplies,Binders,4.9100
74,OFF-SU-10004290,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Corporate,Office Supplies,Supplies,6.8400
